id,Author,Ocena,Poleca,Kupił,Data wystawienia opini,Data kupna,Przydatna opinia,Nieprzydatna opinia,Treść wiadomości,Wady,Zalety
11278986,Inez,4,Polecam,True,2019-11-15 11:33:11,2019-11-11 15:06:22,18,3,"Na tę stację przesiadłam się z Tefala (TEFAL GV 8960 PRO EXPRESS TOTAL) z którego byliśmy bardzo zadowoleni do momentu, w którym po 4-ech latach odmówił posłuszeństwa.Pierwsza rzecz: zanim zdecydujecie się na zakup Philipsa, obejrzyjcie go sobie w jakimś sklepie - jakość materiałów przy tej cenie nie powala, starszy o kilka lat tefal prezentuje nadal zdecydowanie lepszą jakość wykonania. W przypadku tej stacji blokada żelazka wygląda tak, jakby miała za chwilę odpaść :/ pojemnik na wodę też jest ciężko dopasować jednym ruchem.... no mogłoby być lepiej.Co do prasowania ciężko mieć zastrzeżenia. Żelazko gładko sunie po materiale, Wełna, bawełna, len czy jeans - wszystko ładnie wyprasowane. Woda faktycznie kapie, głównie na średniej temperaturze, Po ustawieniu na max nie ma już tego problemu. Żelazko jest lekkie, stopa jest cienka i wąska więc znacznie łatwiej prasuje się mankiety koszul oraz miejsca przy guzikach, koszule taliowane czy plisy.. Przycisk auto (ciągły wyrzut pary) ma sens wyłącznie w przypadku prasowania dużych powierzchni ( tył koszuli, pościel, obrusy). Stacja zużywa bardzo dużo wody (nie polecam tej z kranu bo właśnie tak załatwiliśmy poprzednią stację), lejemy wodę demineralizowaną (koszt ok 5 zł z 5l) jeden pojemnik stacji 1800ml starczy na wyprasowanie 5 koszul. Ogólnie fajny sprzęt, niemniej za 1700 zł (aktualnie najdroższa stacja na rynku) spodziewałabym się znacznie lepszego wykonania.Miły akcent to sygnał dźwiękowy informujący o tym że się nagrzało. A z innych detali to  jak ktoś jest wrażliwy na światło to będzie go wkurzać dość jasna dioda na rączce żelazka. Dość irytujący jest też fakt że żelazka nie da się odstawić na deskę w pionie. Może leżeć płasko albo możemy je odstawiać na stację. Co prawda producent deklaruje że nic się nie przypali  jeśli zostawimy je np. na koszuli, niemniej niech każdy sobie to już potestuje we własnym zakresie ;) Bajeranckie żelazko niemniej na pewno można znaleźć coś w lepszym stosunku cena-jakość. Jak macie kasę i nie żal (bo możecie sobie w razie czego kupić inną stację) można kupić, jak macie brać na raty bo myślicie że to mercedes wśród żelazek i jeszcze nie mieliście stacji parowej... raczej będzie lepszy Bosch, tefal czy Rowenta.",,"['funkcja pary', 'lekkość', 'łatwość prasowania', 'modny wygląd', 'szybkość nagrzewania']"
5218150,Użytkownik Ceneo,5,Polecam,True,2017-11-13 18:16:52,2017-11-13 18:16:52,8,6,"Żelazko moich marzeń - tak w skrócie mogę opisać Philips PerfectCare Elite Plus.Urzekła mnie jego wszechstronność (mogę pracować zarówno delikatne tkaniny, merino jak i jeans i ciężkie materiały, choć na początku ciężko było mi się przestawić na brak regulacji temperatury - żelazko doskonale samo dopasowuje temperaturę. Dodatkowo można pasować w pionie parą co rewelacyjnie sprawdziło się przy delikatnych firankach oraz bluzkach. Duży pojemnik nana wodę sprawia, że nie musiałam co chwila biegać do kuchni. Wąski czubek stopy umożliwia manewrowanie w ciężkich zakamarkach co jest szczególnie przydatne podczas prasowania małych, dziecięcych ubranek.",,['szybkość nagrzewania']
8035605,Maciej.,5,Polecam,True,2018-06-11 10:11:03,2018-06-04 16:26:41,5,4,"Ciężar nie przeszkadza, ponieważ stacja stoi na podłodze. łatwo prasuje, jedyny mały minus to z przewód z parą, który trochę przeszkadza przy ustawieniu żelazka jakby w odwrotnym kierunku.  Nagrzewa się około 2 min, ale to jest do przyjęcia, później jednak generuje parę bez przerw, dogrzewa się bardzo szybko. Wykonanie super, a sama funkcja pary, bardzo dobrze sprawdza się przy różnego rodzaju materiałach. W zstawie jest rękawica ochronna do prasowania  elementów wiszących, skusiłem się i wyprasowałem w ten sposób koszulę ( wyjętą z suszarki, więc trochę pogniecioną).....koszula wyprasana jak na desce.",,
15686075,n...1,5,Polecam,True,2022-02-10 20:00:14,2022-01-10 09:02:26,0,0,"Prasowanie jest przyjemne ponieważ ""żelazko"" jest lekkie i nie potrzeba dużego wysiłku aby ubrania zostały wyprasowane. Czas prasowania w stosunku do zwykłego żelazka się skróciło około połowę czasu. Większość rzeczy wystarczy przeprasować z jednej strony.Jedyny minus, że na samym początku prasowania zostawia ślady wody (zacieki) - po około 30 sek. już to nie występuje. Prawdopodobnie jest jest to spowodowane przez wodę, która pozostała z poprzedniego prasowania w przewodzie.Reasumując towar warty swojej ceny.",,"['duża pojemność pojemnika na wodę', 'funkcja pary', 'jakość wykonania', 'lekkość', 'modny wygląd', 'moje prasowanie  trwa o połowe krócej', 'stopa zelazka t-ionic glide', 'szybkość nagrzewania', 'technologia dynamiq', 'technologia optimaltemp', 'uderzenie pary 520g/min.', 'zabezpieczenie przed przypalaniem']"
8076354,Jarek,3,,True,2018-06-24 11:43:40,2018-06-24 11:43:40,34,7,"Czytając opis i opinie można odnieść wrażenie że to żelazko ""myśli"" za użytkownika. Ludzie, przecież tu nie ma żadnych sensorów materiału, sztucznej inteligencji itd, to całe OptiTemp to po prostu ustalona na STAŁE temperatura.Funkcja DynamiQ to już patent dla mega leni, po 5 minutach wyłączyłem bo lepiej prasuje mi się z pomocą przycisku. DynamiQ marnuje w zasadzie parę bo wydobywa się ona jeszcze moment po odłożeniu żelazka. Rączka nie ma żadnego czujnika trzymania (który mają zwykłe żelazka za kilkaset złotych). Są jedynie sensory ruchu. Wystarczy postawić stopę na desce i delikatnie nią pobujać i już wydobywa się para. Moim zdaniem za te pieniądze powinien być również czujnik dłoni.Co do wyświecania to nawet w instrukcji jest napisane, że przeprasowany szef i tak będzie się świecił (na to już pomoże tylko stół prasowalniczy z nadmuchem).Gdybym mógł zwrócić kupiłbym pewnie model GC9630/20 funkcje te same (oprócz zbędnego DynamiQ) a podejrzewam że od pewnego momentu różnica w barach przestaje mieć znaczenie. Mniej o 1,3 bara a cena niższa o 700 zł.Za takie pieniądze można kupić już profesjonalny stół prasowalniczy ze zintegrowaną stacją, odsysaniem pary, nadmuchem i innymi bajerami!Brak automatycznego zwijania przewodu zasilania to skandal (Tefal ma).Plusy:- duży odłączany zbiornik na wodę- lekka stopa (Tefal ma ciężkie)- ciśnienie- szybkość nagrzewania- wyrzuty pary po dwukrotnym naciśnięciu przyciskuMinusy:- cena- DynamiQ- brak zwijania przewodu- brak czujnika w rączce- brak ustawiania temperatury (wolę mieć niż nie, sam mogę ustawić jedną na stałe)",,"['ciężar', 'duża pojemność pojemnika na wodę', 'szybkość nagrzewania']"
8769743,NI,5,Polecam,True,2018-12-19 12:45:54,2018-12-07 11:24:34,0,0,"sprzęt sprawdza się super. świetnie prasuje każdą tkaninę. rewelacja w przypadku delikatnego jedwabiu, sala czy welnianego swetra. bez problemu mozna prasowac rozne tkaniny. nic sie nie przypala, nie blyszczy. jak dla mnie super. polecam!",,"['automatyczny wyrzut pary', 'brak konieczności nastawiania temperatur', 'ciche', 'długi kabel', 'doskonale dobiera temperaturę', 'doskonale radzi sobie z trudnymi zagniec', 'duża pojemność pojemnika na wodę', 'duży wyrzut pary', 'duży zbiornik na wodę', 'funkcja pary', 'idealnie wyprasowało trudne tkaniny', 'jakość wykonania', 'lekkie', 'lekkość', 'łatwość prasowania', 'moc', 'modny wygląd', 'moje prasowanie  trwa o połowe krócej', 'nie potrzeba ustawiać tempery', 'prasowanie w pionie', 'sporo pary-skraplała się na podłodze', 'stopa zelazka t-ionic glide', 'szybkość nagrzewania', 'technologia dynamiq', 'technologia optimaltemp', 'uderzenie pary 520g/min.', 'zabezpieczenie przed przypalaniem']"
15367567,j...s,5,Polecam,True,2021-12-15 09:52:59,2021-12-09 09:09:41,0,0,"Produkt używam bardzo krótko więc ciężko cokolwiek napisać. Jest to moja pierwsza parownica ale z pewnością mogę napisać, że prasuje się super i bardzo szybko. leciutka, poręczna, prasuje każde zagniecenie. Najważniejsze, że nie trzeba zmieniać temperatury i można prasować każdy rodzaj tkaniny",,"['brak konieczności nastawiania temperatur', 'doskonale dobiera temperaturę', 'duża pojemność pojemnika na wodę', 'idealnie wyprasowało trudne tkaniny', 'jakość wykonania', 'lekkie', 'lekkość', 'modny wygląd', 'moje prasowanie  trwa o połowe krócej', 'prasowanie w pionie', 'stopa zelazka t-ionic glide', 'technologia dynamiq', 'technologia optimaltemp', 'zabezpieczenie przed przypalaniem']"
6448627,Ania,5,Polecam,True,2018-01-08 15:49:53,2017-12-17 21:21:34,0,0,"Samo żelazko bardzo dobre,szybko się prasuje. Minus za brak instrukcji w języku polskim oraz brak gwarancji - gwarancją jest paragon zakupu ze sklepu, który trzeba skserować bo wyblaknie.",,['duża pojemność pojemnika na wodę']
11368505,Joanna,5,Polecam,True,2019-12-04 17:31:28,2019-11-17 21:09:16,1,0,"Poza automatycznym wyrzutem pary, który ma spore opóźnienie zakończenia wyrzutu po odstawieniu żelazka, to najlepszy sprzęt do prasowania jaki miałam.",,"['duża pojemność pojemnika na wodę', 'funkcja pary', 'idealnie wyprasowało trudne tkaniny', 'jakość wykonania', 'lekkość', 'modny wygląd', 'szybkość nagrzewania', 'technologia dynamiq', 'zabezpieczenie przed przypalaniem']"
5218230,Aleksandra,2,,True,2018-08-13 19:19:58,2017-11-08 15:35:44,3,5,"Producent nie wywiązał się z obietnicy wiszącej przy produkcie w sklepie ""FILTR GRATIS"", żelazko nie doprasowuje grubszych bawełnianych tkanin, zamiast pary często kapie woda, częste uzupełnianie wody, po 9 miesiącach użytkowania zaczyna wydawać podejrzane dźwięki (pewnie wkrótce się popsuje :-(), NIE KUPIŁABYM DRUGI RAZ TEGO PRODUKTU; STOSUNEK JAKOŚCI DO CENY NIEZADOWALAJĄCY.",,"['ciężar', 'modny wygląd']"
