"Kraków

30-211
Piastowska 49";30-211;Piastowska 49
"Kraków

31-229
Pachońskiego 8";31-229;Pachońskiego 8
"Kraków

31-867
Os. II Pułku Lotniczego 1";31-867;Os. II Pułku Lotniczego 1
"Kraków

30-836
Jerzmanowskiego 12a";30-836;Jerzmanowskiego 12a
"Kraków

30-611
Wysłouchów 22a";30-611;Wysłouchów 22a
"Kraków

30-415
Rydlówka 10";30-415;Rydlówka 10
"Kraków

30-707
Powstańców Wielkopolskich 18";30-707;Powstańców Wielkopolskich 18
"Kraków

31-422
Powstańców 3";31-422;Powstańców 3
"Kraków

30-426
Juliana Ursyna Niemcewicza 4";30-426;Juliana Ursyna Niemcewicza 4
"Kraków

31-834
os. Jagiellońskie 20";31-834;os. Jagiellońskie 20
"Kraków

31-416
Dobrego Pasterza 122a";31-416;Dobrego Pasterza 122a
"Kraków

30-644
Kamieńskiego 43";30-644;Kamieńskiego 43
"Kraków

31-031
Berka Joselewicza 28";31-031;Berka Joselewicza 28
"Kraków

31-810
Os. Józefa Strusia 23";31-810;Os. Józefa Strusia 23
"Kraków

30-609
Tadeusza Połomskiego 14";30-609;Tadeusza Połomskiego 14
"Kraków

30-349
Zygmunta Miłkowskiego 3/4";30-349;Zygmunta Miłkowskiego 3/4
"Kraków

31-834
os. Jagiellońskie 19";31-834;os. Jagiellońskie 19
"Kraków

31-261
Wybickiego 18";31-261;Wybickiego 18
"Kraków

30-011
Wrocławska 28";30-011;Wrocławska 28
"Kraków

31-637
Leopolda Okulickiego 51";31-637;Leopolda Okulickiego 51
"Kraków

30-868
Heleny 18";30-868;Heleny 18
"Kraków

30-611
Beskidzka 30";30-611;Beskidzka 30
"Kraków

30-864
Mała Góra 97";30-864;Mała Góra 97
"Kraków

30-612
Porucznika Halszki 3a";30-612;Porucznika Halszki 3a
"Kraków

31-423
Łepkowskiego 3";31-423;Łepkowskiego 3
"Kraków

30-721
Lipska 28";30-721;Lipska 28
"Kraków

31-236
Księdza Meiera 13";31-236;Księdza Meiera 13
"Kraków

31-708
Os. Na Stoku 53";31-708;Os. Na Stoku 53
"Kraków

31-940
Os. Kolorowe 16A";31-940;Os. Kolorowe 16A
"Kraków

30-693
ul. Łużycka 43f";30-693;ul. Łużycka 43f
"Kraków

31-566
Ofiar Dąbia 12";31-566;Ofiar Dąbia 12
"Kraków

30-149
Balicka 157";30-149;Balicka 157
"Kraków

31-618
Os. Złotego Wieku 51-52";31-618;Os. Złotego Wieku 51-52
"Kraków

31-154
Pawia 5a";31-154;Pawia 5a
"Kraków

31-222
Zygmunta Glogera 22";31-222;Zygmunta Glogera 22
"Kraków

31-215
Żabiniec 93";31-215;Żabiniec 93
"Kraków

31-621
Bohaterów Września 82";31-621;Bohaterów Września 82
"Kraków

30-384
Drukarska 2";30-384;Drukarska 2
"Kraków

31-589
Sołtysowska 23d";31-589;Sołtysowska 23d
"Kraków

30-668
Polonijna 13";30-668;Polonijna 13
"Kraków

30-551
Limanowskiego 3";30-551;Limanowskiego 3
"Kraków

30-740
Półłanki 12b";30-740;Półłanki 12b
"Kraków

31-334
Władysława Łokietka 136";31-334;Władysława Łokietka 136
"Kraków

31-559
Stefana Rogozińskiego 6";31-559;Stefana Rogozińskiego 6
"Kraków

30-010
Łokietka 5";30-010;Łokietka 5
"Kraków

31-231
Siewna 46";31-231;Siewna 46
"Kraków

31-202
Prądnicka 65";31-202;Prądnicka 65
"Kraków

31-217
Grażyny 4";31-217;Grażyny 4
"Kraków

31-870
Medweckiego 21";31-870;Medweckiego 21
"Kraków

30-114
Kościuszki 71";30-114;Kościuszki 71
"Kraków

30-126
Stańczyka 14";30-126;Stańczyka 14
"Kraków

31-876
Al. Generała Bora Komorowskiego 41";31-876;Al. Generała Bora Komorowskiego 41
"Kraków

32-085
Prof. A. Różańskiego 32";32-085;Prof. A. Różańskiego 32
"Kraków

30-011
Wrocławska 67";30-011;Wrocławska 67
"Kraków

31-612
Miśnieńska 87";31-612;Miśnieńska 87
"Kraków

30-383
Lubostroń 15";30-383;Lubostroń 15
"Kraków

31-348
Chełmońskiego 255";31-348;Chełmońskiego 255
"Kraków

30-243
Księcia Józefa 52";30-243;Księcia Józefa 52
"Kraków

31-637
F. Kniaźnina 1";31-637;F. Kniaźnina 1
"Kraków

30-392
Karola Bunscha 2";30-392;Karola Bunscha 2
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
"Kraków

31-010
Rynek Główny 34";31-010;Rynek Główny 34
